Year,Water,MOb,MOps,RECRbroad,SEsb,MObroad,Grass,RECRpb,SEbroad,Abandoned,MOp,MOs,INVb,MetsoT,MOmix,INVp,SEpsb,INDIFp,INDIFpsb,INDIFbroad,INVpb,INDIFs,INDIFpb,MOpb,INDIFb,RECRps,INVps,INDIFps,MOpsb,Wet,INVsb,RECRpsb,INDIFsb,INVpsb,INDIFmix,Open,SEb,Urban,MOsb,SEp,INVs,SEs,SEpb,RECRb,UForest,INVbroad,RECRsb,RECRp,Agr,INVmix,RECRmix,PA,RECRs,SEps,Metso,SEmix
2003,85345,590,584,,26,64,33609,,19,32755,51799,994,158,,22362,12837,4016,11890,3752,16,43,228,47,227,145,,148,132,15759,23681,24,,22,4035,4963,928,147,14111,107,12976,225,254,59,,982,19,,,28423,5633,,13457,,164,,5461
2004,85345,590,583,,26,64,33609,,19,33002,51724,992,158,,22330,12812,4015,11874,3743,16,42,228,47,227,145,,147,132,15728,23681,23,,22,4031,4954,928,147,14111,107,12963,225,253,59,,982,19,,,28423,5622,,13457,,164,,5447
