ID,AggregateAFT,Biodiversity,Carbon,MetsoArea,Recreation,Timber
Water,85345.0,0.0,0.0,0.0,0.0,0.0
MOb,549.0,2.436025140397294,494.04777269244113,0.0,236.3078558165253,47.244889355981066
MOps,547.0,21.260380232597917,1591.5107371565405,0.0,262.31608286162214,230.03885044105945
RECRbroad,17.0,0.1514065565279284,14.122407135723641,0.0,7.104635187978965,1.5916779108274577
SEsb,23.0,0.7932418280383651,70.90894856501262,0.0,8.540831510149946,9.14841235955064
MObroad,61.0,2.778950905791237,161.38999269848782,0.0,28.790177821318366,13.885710285005485
Grass,33609.0,0.0,0.0,0.0,0.0,0.0
RECRpb,1.0,0.13262424069122358,15.23856093253421,0.0,0.4849443581098704,1.1990360612771824
SEbroad,18.0,0.35330771997534943,21.66495544503899,0.0,6.429693125931088,1.0815230835966556
Abandoned,35728.0,0,0,0,0,0
MOp,48418.0,1016.2440366123982,31350.75247457993,0.0,21218.977564555167,4110.860300712675
MOs,926.0,43.93798808480164,2368.947023139076,0.0,416.6697386682249,358.0681214561839
INVb,137.0,0.06550924149304843,90.34774697617966,0.0,8.785855932235716,12.188225001640706
MetsoT,17.0,0.0,0.0,1.546657264977693,8.251792378982694,0.0
MOmix,21151.0,1412.1239422700796,61021.67488366143,0.0,9330.051021778645,5278.9301617831325
INVp,11202.0,38.763797387747296,6126.704988394103,0.0,567.8488782745637,1161.4995556849135
SEpsb,3792.0,199.09348150539253,20823.50190838149,0.0,1509.1200065853916,2704.306671229415
INDIFpsb,4068.0,310.04238430025157,32461.77608617611,0.0,1807.4952921569347,2754.406294613799
INDIFp,11700.0,343.6214653222603,9830.750733392102,0.0,4693.514174900921,836.430142103643
INDIFbroad,16.0,0.707679228304494,23.70429690682414,0.0,8.02505110859871,2.967801309448244
INVpb,37.0,0.2998152345081294,127.35079924455168,0.0,3.23071471452713,22.652804127792788
INDIFs,220.0,13.926468132267551,678.178009329768,0.0,90.88315088897947,72.44818213207306
INDIFpb,46.0,2.115646951395556,94.60408532972664,0.0,19.803308188915253,8.147072400862783
MOpb,220.0,5.324589543750482,383.50816759853683,0.0,102.42006425070856,47.90226610583604
INDIFb,133.0,4.197813953363813,245.34767256958776,0.0,56.70426294207576,14.983998599167785
RECRps,0,0,0,0,0,0
INVps,126.0,0.9022403012285716,279.91328403220587,0.0,11.107504153251647,56.67224753372397
INDIFps,136.0,8.010584000818335,409.7194224965845,0.0,59.282346069812775,39.67003975878798
MOpsb,15150.0,810.6128845434888,96030.70552957601,0.0,7399.666562122482,12187.074482551048
Wet,23681.0,0.0,0.0,0.0,0.0,0.0
INVsb,19.0,0.11050219520969716,26.35552214534708,0.0,1.396643245220184,5.897160107188677
RECRpsb,3.0,0.0,0.008066098541205859,0.0,0.7962230935539805,0.0013695433631268764
INDIFsb,28.0,1.4908471700088903,80.72164168126923,0.0,11.516673564910889,6.0759032269409765
INVpsb,3580.0,39.35492110655097,18563.443561280463,0.0,315.0678098559379,3342.938447267085
INDIFmix,4762.0,421.3833197715836,21379.831090460913,0.0,2186.565216987131,2484.811591402837
Open,928.0,0.0,0.0,0.0,0.0,0.0
SEb,136.0,0.4407536264637704,90.98571231393123,0.0,48.90245960715549,8.68674879501199
Urban,14111.0,0.0,0.0,0.0,0.0,0.0
MOsb,100.0,3.5684965585644544,195.47278675345797,0.0,44.06322441167365,26.99572634272667
SEp,12073.0,252.97822497140803,7405.713857519589,0.0,3803.7453401026073,958.9608977153375
INVs,203.0,1.4819501251833858,292.05145290762425,0.0,10.82558536827564,70.88140480789338
SEs,237.0,11.349259845340917,535.26225719959,0.0,77.83153064635282,83.079718521982
SEpb,55.0,1.1692002296103987,75.04767850182712,0.0,20.80804435285003,9.687294899077083
RECRb,2.0,0.035342654858145285,0.023286982432367757,0.0,0.9174483990419517,0.002588455415964072
UForest,982.0,0.0,0.0,0.0,0.0,0.0
INVbroad,15.0,0.09117262439266757,26.96672950483296,0.0,1.0923419094085693,5.965844029234422
RECRsb,0,0,0,0,0,0
RECRp,0,0,0,0,0,0
Agr,28423.0,0.0,0.0,0.0,0.0,0.0
INVmix,4952.0,71.46931683583715,17991.92454500505,0.0,334.36448928832954,3649.914487354894
RECRmix,0,0,0,0,0,0
PA,13457.0,0.0,0.0,0.0,0.0,0.0
RECRs,0,0,0,0,0,0
SEps,169.0,6.666113694683742,545.2224731910544,0.0,67.65777238761798,69.64140002899306
Metso,6621.0,86.15899423365893,15.278842108465838,1735.0701497166883,3245.037804792155,1.8023190270048335
SEmix,5286.0,356.39848825021636,18942.374046579465,0.0,1974.7380747342586,1059.410955033239
