ID,AggregateAFT,Biodiversity,Carbon,MetsoArea,Recreation,Timber
Water,85345.0,0.0,0.0,0.0,0.0,0.0
MOb,590.0,2.4360251403972955,494.0477726924412,0.0,255.21495447890402,47.24488935598108
MOps,584.0,21.330787794596382,1573.652138626746,0.0,281.3960324529878,227.81955647645793
RECRbroad,0,0,0,0,0,0
SEsb,26.0,0.7932418280383652,70.90894856501261,0.0,9.821791050309516,9.148412359550639
MObroad,64.0,2.6181982349879203,160.1768266203796,0.0,30.346105743926422,13.735822407610785
Grass,33609.0,0.0,0.0,0.0,0.0,0.0
RECRpb,0,0,0,0,0,0
SEbroad,19.0,0.35330771997534943,21.664955445038995,0.0,6.775936061310649,1.0815230835966556
Abandoned,32755.0,0,0,0,0,0
MOp,51799.0,1036.5344123274172,31954.127211563133,0.0,22820.3242178812,4181.956304180041
MOs,994.0,45.0908578815241,2438.4441185971837,0.0,449.177125102274,367.19661402653935
INVb,158.0,0.07078596870191442,90.7859925370636,0.0,10.33725430011749,12.306702819162044
MetsoT,0,0,0,0,0,0
MOmix,22362.0,1413.0040558808853,61633.63090129568,0.0,9896.740215102742,5323.505468055678
INVp,12837.0,47.488417984468406,6660.914067734902,0.0,658.2165901351001,1299.5830599605456
SEpsb,4016.0,199.6731847413303,20813.5657402872,0.0,1603.8110581785606,2703.7869465032663
INDIFpsb,3752.0,259.65234062025417,28695.396466751128,0.0,1662.4972233474255,2429.699874489632
INDIFp,11890.0,307.5911559736823,9269.088548147392,0.0,4784.915496429803,782.3531889998529
INDIFbroad,16.0,0.6228729011702184,22.67775262590964,0.0,8.017275009155275,2.8154753323425865
INVpb,43.0,0.357502777742866,131.06825203106754,0.0,3.751960229873658,23.699282099881735
INDIFs,228.0,13.349710557388736,668.801960195178,0.0,94.80365002661944,71.26772732882097
INDIFpb,47.0,1.958779893770326,107.02773399393176,0.0,20.081625401973724,8.985878848707713
MOpb,227.0,5.306779345381244,380.9558591704612,0.0,105.67531928545203,47.49614782564876
INDIFb,145.0,4.104034215076321,244.6541179851188,0.0,62.74288304686546,14.926770724862491
RECRps,0,0,0,0,0,0
INVps,148.0,1.0363570106441569,295.9550739085218,0.0,13.183639824390408,61.106179628091546
INDIFps,132.0,6.83425687226946,373.79553585435826,0.0,57.45361086726189,35.90025443919464
MOpsb,15759.0,797.7394837531544,92985.68226114224,0.0,7716.988704359014,11826.633937656754
Wet,23681.0,0.0,0.0,0.0,0.0,0.0
INVsb,24.0,0.14851644285147175,43.53180396624942,0.0,1.8359731554985046,9.212819475836037
RECRpsb,0,0,0,0,0,0
INDIFsb,22.0,0.8974058956595256,77.46836605489221,0.0,8.7981858253479,5.751912547375879
INVpsb,4035.0,42.89366522321863,18828.2529647585,0.0,357.57155458331056,3423.71575458478
INDIFmix,4963.0,418.34782362107154,21508.413841589187,0.0,2283.636982076168,2496.8716739198644
Open,928.0,0.0,0.0,0.0,0.0,0.0
SEb,147.0,0.4360276727047149,90.66440946241399,0.0,53.0688522135656,8.643593501740689
Urban,14111.0,0.0,0.0,0.0,0.0,0.0
MOsb,107.0,3.5684965585644535,195.47278675345797,0.0,47.92321174751241,26.995726342726677
SEp,12976.0,258.83155445619155,7638.516553480621,0.0,4111.283620395006,984.0979050972743
INVs,225.0,1.6973994090039701,331.2041745480905,0.0,12.115299845337871,80.78425465786123
SEs,254.0,11.332829223935134,511.6413490613931,0.0,83.40304653615759,80.1824400265646
SEpb,59.0,1.2432719606772373,75.06210354105798,0.0,22.479509791498106,9.691834825784836
RECRb,0,0,0,0,0,0
UForest,982.0,0.0,0.0,0.0,0.0,0.0
INVbroad,19.0,0.11124473932829007,29.98063888835816,0.0,1.4002753925323486,6.828487275452811
RECRsb,0,0,0,0,0,0
RECRp,0,0,0,0,0,0
Agr,28423.0,0.0,0.0,0.0,0.0,0.0
INVmix,5633.0,79.39244405432683,18582.868069008928,0.0,385.0707807540886,3814.235968414358
RECRmix,0,0,0,0,0,0
PA,13457.0,0.0,0.0,0.0,0.0,0.0
RECRs,0,0,0,0,0,0
SEps,164.0,6.03145363727876,521.0909585269438,0.0,65.66578852505044,65.96704967859777
Metso,0,0,0,0,0,0
SEmix,5461.0,345.1840280442972,18905.993200289657,0.0,2038.0396745982373,1054.31738484098
