ID,AggregateAFT,Biodiversity,Carbon,MetsoArea,Recreation,Timber
Water,85345.0,0.0,0.0,0.0,0.0,0.0
MOb,581.0,2.436025140397295,494.0477726924411,0.0,252.14531058408565,47.24488935598108
MOps,577.0,21.37794377698791,1592.0019836937327,0.0,278.10256179451414,230.1599715468182
RECRbroad,18.0,0.1514065565279284,14.122407135723641,0.0,7.5383412811582255,1.5916779108274577
SEsb,26.0,0.7932418280383651,70.90894856501262,0.0,9.821791050309516,9.148412359550637
MObroad,64.0,2.6599498793590954,160.60321572675832,0.0,30.301575699747502,13.791473796298643
Grass,33609.0,0.0,0.0,0.0,0.0,0.0
RECRpb,1.0,0.13262424069122358,15.23856093253421,0.0,0.4849443581098704,1.1990360612771824
SEbroad,18.0,0.35330771997534943,21.664955445038995,0.0,6.429693125931086,1.0815230835966554
Abandoned,33577.0,0,0,0,0,0
MOp,51241.0,1027.9441109094048,31321.10917289949,0.0,22580.58075254664,4107.49741954501
MOs,980.0,44.677955948940856,2370.9276191667473,0.0,442.817525571584,358.61025099570753
INVb,154.0,0.06907646072494537,90.6741932197267,0.0,10.06588613033294,12.274710869956156
MetsoT,2.0,0.0,0.0,0.14455097168683995,0.8912910576039934,0.0
MOmix,22196.0,1410.7046498917223,61007.327126195174,0.0,9848.302063075793,5277.213548691442
INVp,12286.0,42.77961093357899,6339.594016523443,0.0,628.791001912956,1220.993152370988
SEpsb,3989.0,200.00800992216486,20808.838016020472,0.0,1593.2657427770412,2702.171025249302
INDIFpsb,4047.0,293.7607383699541,31950.14092889924,0.0,1801.3829295635223,2703.019468191869
INDIFp,12078.0,326.5188357563105,9548.889987100507,0.0,4869.864387852845,808.9798956086167
INDIFbroad,16.0,0.6228729011702185,22.67775262590964,0.0,8.017275009155274,2.8154753323425865
INVpb,40.0,0.331850359269609,129.27328263882714,0.0,3.505000400543213,23.189274563052585
INDIFs,229.0,13.635949465109919,674.145457672473,0.0,95.01300553530457,71.93431194044429
INDIFpb,48.0,2.1156469513955565,94.60408532972664,0.0,20.75768780708313,8.147072400862784
MOpb,224.0,5.306779345381246,380.95585917046134,0.0,104.50299811681415,47.49614782564876
INDIFb,144.0,4.197813953363813,245.34767256958773,0.0,62.42450028777126,14.983998599167785
RECRps,0,0,0,0,0,0
INVps,140.0,0.9541327052986744,287.83217848407895,0.0,12.461827105283733,58.813028933362446
INDIFps,137.0,7.384481911702574,395.41240961776543,0.0,59.839159697294235,38.10165902016695
MOpsb,15815.0,808.757613017402,95838.4852806042,0.0,7748.415776204977,12156.778531195207
Wet,23681.0,0.0,0.0,0.0,0.0,0.0
INVsb,21.0,0.11841792145689169,27.430217041909092,0.0,1.5839450955390932,6.22030433697998
RECRpsb,3.0,0.0,0.008066098541205859,0.0,0.7962230935539805,0.0013695433631268764
INDIFsb,26.0,1.2786617906488353,80.49142041925177,0.0,10.628041088581085,6.047683043373259
INVpsb,3881.0,41.11224395539633,18728.699827231012,0.0,343.7248509824272,3388.7088517986663
INDIFmix,4939.0,420.12237624992207,21366.627464817993,0.0,2279.2255763840653,2482.957608105399
Open,928.0,0.0,0.0,0.0,0.0,0.0
SEb,145.0,0.43602767270471476,90.664409462414,0.0,52.64792676439402,8.643593501740687
Urban,14111.0,0.0,0.0,0.0,0.0,0.0
MOsb,106.0,3.568496558564454,195.472786753458,0.0,47.208575925304295,26.995726342726677
SEp,12819.0,256.02018198125427,7399.943720489722,0.0,4062.510411930326,958.313541904762
INVs,216.0,1.5844072961731719,306.16497109408067,0.0,11.600473267436024,74.76207370422215
SEs,251.0,11.431635524943179,535.6442411056096,0.0,82.7161693781149,83.17797742141536
SEpb,59.0,1.2432719606772369,75.06210354105798,0.0,22.479509791498106,9.691834825784836
RECRb,1.0,0.0,0.0,0.0,0.41289392282764675,0.0
UForest,982.0,0.0,0.0,0.0,0.0,0.0
INVbroad,17.0,0.0996389932780406,28.316232836400438,0.0,1.243719120025635,6.358401593732435
RECRsb,0,0,0,0,0,0
RECRp,2.0,0.0,0.0,0.0,0.0,0.0
Agr,28423.0,0.0,0.0,0.0,0.0,0.0
INVmix,5379.0,74.96764834536945,18277.364261274182,0.0,366.90019424438475,3728.628485008514
RECRmix,0,0,0,0,0,0
PA,13457.0,0.0,0.0,0.0,0.0,0.0
RECRs,0,0,0,0,0,0
SEps,169.0,6.343904787845954,528.2749760316273,0.0,67.78488231284068,67.12274318247441
Metso,535.0,0.22136947612727487,5.303026127515068E-5,140.1165834586136,263.8477116637137,2.053227654985428E-5
SEmix,5483.0,351.574478576799,18894.42420993173,0.0,2057.7305784167447,1055.7643158164512
